display_name	distribution_type	url	voice_sample	thumbnail
あみたろのITAコーパス読み上げ音声	voice	https://amitaro.net/voice/corpus-list/ita/	https://www.youtube.com/embed/ksKu6JyLP5I	https://amitaro.net/wp-content/uploads/cfc421fa043881e8a70485cbf9c04b39-150x150.png
刻鳴時雨 RVC用学習済みモデル	model	https://huggingface.co/yasyune/Shigure_Tokina_RVC	https://s2.booth.pm/4bbcead3-a3a3-40b7-8364-82e59ad26919/s/3999646/full/27063df3-d1a3-4cef-9f7c-039ddbbea5bd.mp3	https://s2.booth.pm/4bbcead3-a3a3-40b7-8364-82e59ad26919/i/3640133/2b6374d2-6fea-441d-8fbb-57080de1ff06_base_resized.jpg
刻鳴時雨ITAコーパス読み上げ音声素材	voice	https://booth.pm/ja/items/3640133	https://s2.booth.pm/4bbcead3-a3a3-40b7-8364-82e59ad26919/s/3999646/full/27063df3-d1a3-4cef-9f7c-039ddbbea5bd.mp3	https://s2.booth.pm/4bbcead3-a3a3-40b7-8364-82e59ad26919/i/3640133/2b6374d2-6fea-441d-8fbb-57080de1ff06_base_resized.jpg
黄琴まひろ　ITAコーパス読み上げ音声【1.00】	voice	https://kikyohiroto1227.wixsite.com/kikoto-utau/mahiro	https://www.youtube.com/embed/LT6D4Mx2xgo	https://static.wixstatic.com/media/8a7d85_767d045b05494925b100b46866221bcf~mv2.png/v1/fill/w_499,h_776,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/%E3%83%87%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88.png
黄琴海月　ITAコーパス読み上げ音声【4.00】	voice	https://kikyohiroto1227.wixsite.com/kikoto-utau/kurage	https://www.youtube.com/embed/SXnB8b1fKP4	https://static.wixstatic.com/media/8a7d85_5bec4edd41e8437ba26735f6815e8060~mv2.png/v1/crop/x_66,y_0,w_2761,h_4092/fill/w_524,h_776,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/%E3%83%87%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88.png
つくよみちゃん SHAREVOX おしとやかv2	tts	https://www.sharevox.app/	https://www.youtube.com/embed/qulYVXQStOc	https://www.sharevox.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftsukuyomi-chan.72508811.png
冥鳴ひまり VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/	https://youtu.be/87r1gxHDfrU	https://static.wixstatic.com/media/3b28a4_03cdd81ad08f4caf8bd029ebf3277986~mv2.png/v1/fill/w_532,h_1082,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/3b28a4_03cdd81ad08f4caf8bd029ebf3277986~mv2.png
Yくん/開発者 SHAREVOX ノーマルv2	tts	https://www.sharevox.app/		https://www.sharevox.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fdeveloper.a603599f.png&w=256&q=75
白痴ー SHAREVOX 虚偽v2	tts	https://www.sharevox.app/		https://www.sharevox.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhakuchi.d547ffd5.png&w=384&q=75
剣崎雌雄 VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/		https://voicevox.hiroshiba.jp/static/e81ad255e492ffa37d800eb98ab598eb/90d07/bustup-kenzaki_mesuo.webp
小夜/SAYO VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/	"<script type=""application/javascript"" src=""https://embed.nicovideo.jp/watch/sm41563418/script?w=640&h=360""></script><noscript><a href=""https://www.nicovideo.jp/watch/sm41563418"">VOICEVOXにて小夜がリリースされます！【コンテンツツリー登録先】</a></noscript>"	https://voicevox.hiroshiba.jp/static/a73984391800c755c0448a1a0c2d6376/90d07/bustup-sayo.webp
小春音アミ SHAREVOX ノーマルv2	tts	https://www.sharevox.app/		https://www.sharevox.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fkoharune-ami.fa96078c.png&w=384&q=75
春日部つむぎ VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/		https://voicevox.hiroshiba.jp/static/046153ad2a4ff3b8f3b238fbb6c3024a/90d07/bustup-kasukabe_tsumugi.webp
櫻歌ミコ VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/	https://www.youtube.com/embed/lLW9LrVQH4U	https://voicevox.hiroshiba.jp/static/04ed4c0561bcc673e14e9045c0be29b0/5dda0/bustup-ouka_miko.webp
櫻歌ミコ VOICEVOX 第二形態	tts	https://voicevox.hiroshiba.jp/	https://www.youtube.com/embed/lLW9LrVQH4U	https://voicevox.hiroshiba.jp/static/04ed4c0561bcc673e14e9045c0be29b0/5dda0/bustup-ouka_miko.webp
櫻歌ミコ VOICEVOX ロリ	tts	https://voicevox.hiroshiba.jp/	https://www.youtube.com/embed/lLW9LrVQH4U	https://voicevox.hiroshiba.jp/static/04ed4c0561bcc673e14e9045c0be29b0/5dda0/bustup-ouka_miko.webp
波音リツ VOICEVOX ノーマル	tts	https://voicevox.hiroshiba.jp/	https://www.youtube.com/embed/9Sn-f9feOwM	https://voicevox.hiroshiba.jp/static/75549daa4535e332de0123efa8709624/90d07/bustup-namine_ritsu.webp
